# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
168.422 2030.1 38.8477 32.0429 60.8788 -7.18025 -4.19395 1.84192 15 14.0625 15.9375 15.7099 1.13333
168.533 2030.43 38.0547 31.556 61.0709 -7.18727 -4.23789 1.97002 15 14.0625 15.9375 15.7107 1.13333
168.644 2020.01 37.2765 31.091 61.2951 -7.20422 -4.30535 2.10626 15 14.0625 16.875 15.6838 1.2
168.756 2029.02 36.4748 30.6204 61.5122 -7.17717 -4.37318 2.2145 14.0625 14.0625 15.9375 15.7071 1.13333
168.867 2028.7 35.6599 30.1212 61.7635 -7.15705 -4.46496 2.34367 14.0625 15 15.9375 15.7063 1.13333
168.978 2028.42 34.8799 29.6306 62.0156 -7.10984 -4.55453 2.46117 14.0625 15 15.9375 15.7055 1.13333
169.089 2028.49 34.1014 29.1008 62.2991 -7.05858 -4.66508 2.57794 15 15 15.9375 15.7057 1.0625
169.2 2030.61 33.3337 28.5856 62.5698 -6.99721 -4.77088 2.70243 15 15 15.9375 15.7112 1.0625
169.311 2032.07 32.5502 28.0345 62.8772 -6.93564 -4.9169 2.81354 14.0625 15 15.9375 15.715 1.13333
169.422 2029 31.7821 27.489 63.1806 -6.87539 -5.06678 2.92562 14.0625 15 15 15.707 1.06667
169.533 2029.05 31.0395 26.9148 63.5002 -6.80502 -5.2234 3.05367 14.0625 15.9375 15.9375 15.7072 1.13333
169.644 2026.92 30.3006 26.3352 63.8485 -6.73619 -5.38862 3.17703 14.0625 15 15.9375 15.7017 1.13333
169.756 2025.88 29.5519 25.7308 64.17 -6.67867 -5.56734 3.29391 14.0625 15 15.9375 15.699 1.13333
169.867 2030.49 28.813 25.093 64.5492 -6.62808 -5.75374 3.4175 14.0625 15.9375 15.9375 15.7109 1.13333
169.978 2028.01 28.0727 24.4483 64.9373 -6.57745 -5.93525 3.5375 14.0625 15.9375 15.9375 15.7045 1.13333
170.089 2033.99 27.3586 23.7853 65.3134 -6.53857 -6.09494 3.66055 14.0625 15 15.9375 15.7199 1.13333
170.2 2026.59 26.6373 23.0932 65.7221 -6.52414 -6.24695 3.78023 15 15 15.9375 15.7008 1.0625
170.311 2029.11 25.9222 22.4017 66.1252 -6.52549 -6.36692 3.8902 14.0625 15.9375 15.9375 15.7073 1.13333
170.422 2033.66 25.2082 21.6933 66.5694 -6.53899 -6.45856 3.97467 14.0625 15 15.9375 15.719 1.13333
170.533 2034.73 24.4723 20.9721 66.9968 -6.57024 -6.51169 4.03999 14.0625 15 15.9375 15.7218 1.13333
170.644 2036.27 23.7409 20.2535 67.4345 -6.61163 -6.51349 4.0871 15 15 15.9375 15.7258 1.0625
170.756 2032.76 23.0164 19.5336 67.889 -6.65573 -6.46764 4.10382 15 15 15.9375 15.7168 1.0625
170.867 2025.49 22.2824 18.815 68.3249 -6.69974 -6.37634 4.09 15 15 15.9375 15.698 1.0625
170.978 2025.29 21.5285 18.1015 68.7818 -6.73038 -6.24913 4.00234 15 15 15.9375 15.6975 1.0625
171.089 2031.98 20.7957 17.4249 69.1966 -6.73482 -6.08405 3.88342 15.9375 15 15.9375 15.7147 1.0625
171.2 2025.16 20.0498 16.7766 69.6338 -6.71387 -5.90219 3.73515 15 15 15.9375 15.6971 1.0625
171.311 2029.95 19.3028 16.1087 69.9995 -6.66474 -5.7149 3.54999 15 15 15 15.7095 1
171.422 2031.83 18.5587 15.4948 70.3946 -6.57649 -5.52253 3.34442 15.9375 15 15.9375 15.7143 1.0625
171.533 2032.18 17.8539 14.8847 70.7583 -6.45876 -5.32399 3.15032 15.9375 15.9375 15 15.7153 1.0625
171.644 2034.66 17.1545 14.3027 71.0956 -6.3172 -5.13856 2.94982 15.9375 15 15 15.7216 1.0625
171.756 2025.13 16.4435 13.7174 71.3833 -6.15824 -4.9732 2.76944 16.875 15.9375 15 15.697 1.125
171.867 2030.12 15.7683 13.1939 71.6746 -5.97932 -4.79298 2.59471 15.9375 15.9375 15 15.7099 1.0625
171.978 2031.01 15.1147 12.6841 71.9685 -5.80408 -4.61597 2.43923 15.9375 15.9375 15 15.7122 1.0625
172.089 2031.73 14.5036 12.1529 72.2177 -5.59811 -4.46497 2.29738 15.9375 15.9375 14.0625 15.7141 1.13333
172.2 2032.36 13.8644 11.6802 72.4533 -5.41279 -4.28783 2.17331 15.9375 16.875 14.0625 15.7157 1.2
172.311 2026.62 13.2727 11.2241 72.7019 -5.21632 -4.1233 2.07727 15.9375 15.9375 15 15.7009 1.0625
172.422 2030.48 12.7143 10.7768 72.9171 -5.00536 -3.95502 1.98553 15 16.875 15 15.7109 1.125
172.533 2027.21 12.1484 10.3578 73.1393 -4.79294 -3.77284 1.91943 15.9375 17.8125 14.0625 15.7024 1.26667
172.644 2029.65 11.6528 9.92991 73.3256 -4.59047 -3.61679 1.87275 15.9375 16.875 14.0625 15.7087 1.2
