# label z_c u_bulle uz_domaine c1 c2 c3 c4 h1 h2 h3 h4 f1 f2 f3 f4 Vb
# c=cone_sup h=hemisphere f=coquille ; bandes r/D=[1,1.5][1.5,2][2,2.5][2.5,3] ; STOCKE (repere mobile)
205.00 73.7324 0.125986 -12.5248 -10.7843 -11.4542 -11.8175 -12.0265 -11.72 -12.0156 -12.2482 -12.4048 -11.7484 -12.0587 -12.2584 -12.4143 2136.15
206.00 73.9013 0.13597 -12.6661 -10.8536 -11.6271 -12.0085 -12.1864 -11.8953 -12.2267 -12.4096 -12.5405 -11.8876 -12.2343 -12.4092 -12.5509 2136.34
207.00 74.0389 0.0898582 -12.7807 -10.983 -11.8026 -12.1696 -12.3191 -12.1099 -12.3938 -12.5332 -12.6505 -12.0562 -12.3809 -12.5328 -12.66 2136.47
208.00 74.1198 0.00879573 -12.8336 -11.1287 -11.9267 -12.2758 -12.4096 -12.1785 -12.5052 -12.6091 -12.699 -12.1529 -12.4821 -12.6019 -12.7083 2136.49
209.00 74.125 -0.0716937 -12.8061 -11.2495 -11.9762 -12.2934 -12.4204 -12.2257 -12.5146 -12.6016 -12.67 -12.1878 -12.4915 -12.597 -12.6789 2136.51
210.00 74.0412 -0.154032 -12.688 -11.3151 -11.9297 -12.2056 -12.3334 -12.1987 -12.4328 -12.4989 -12.5485 -12.1081 -12.4183 -12.505 -12.565 2136.36
211.00 73.8924 -0.20342 -12.5075 -11.3475 -11.8251 -12.0681 -12.1778 -12.0733 -12.2701 -12.337 -12.3713 -11.9724 -12.2601 -12.3516 -12.3934 2135.68
212.00 73.7291 -0.181858 -12.3166 -11.3531 -11.7462 -11.9027 -11.9933 -11.9322 -12.0918 -12.1608 -12.1824 -11.8226 -12.0826 -12.1778 -12.2127 2135.62
213.00 73.6133 -0.115201 -12.1761 -11.3649 -11.6912 -11.7882 -11.8643 -11.8308 -11.9565 -12.0242 -12.0468 -11.724 -11.9502 -12.0446 -12.0811 2135.72
214.00 73.5596 -0.0471032 -12.097 -11.37 -11.6575 -11.7147 -11.778 -11.8135 -11.8725 -11.9365 -11.9661 -11.7159 -11.8698 -11.9642 -12.0054 2135.67
215.00 73.5548 -0.0175867 -12.0622 -11.3638 -11.6384 -11.6618 -11.7278 -11.8036 -11.8215 -11.8897 -11.9335 -11.7195 -11.8339 -11.9221 -11.9711 2135.98
216.00 73.593 0.00299843 -12.0658 -11.3384 -11.5904 -11.6145 -11.7165 -11.8028 -11.7986 -11.8738 -11.9445 -11.7379 -11.8295 -11.9145 -11.9762 2135.99
217.00 73.6445 0.0165977 -12.0793 -11.2716 -11.5062 -11.5704 -11.7067 -11.7749 -11.7828 -11.8764 -11.9727 -11.7321 -11.8255 -11.919 -11.9952 2136.12
218.00 73.7096 0.0351837 -12.1065 -11.1327 -11.404 -11.5501 -11.7226 -11.7148 -11.7697 -11.9147 -12.0201 -11.7044 -11.8332 -11.9485 -12.0325 2136.11
219.00 73.7664 0.0478249 -12.1316 -10.9947 -11.3047 -11.5403 -11.755 -11.6397 -11.7713 -11.9608 -12.0673 -11.6617 -11.8384 -11.9859 -12.072 2136.08
