# label z_c u_bulle uz_domaine c1 c2 c3 c4 h1 h2 h3 h4 f1 f2 f3 f4 Vb
# c=cone_sup h=hemisphere f=coquille ; bandes r/D=[1,1.5][1.5,2][2,2.5][2.5,3] ; STOCKE (repere mobile)
218.00 64.9108 3.59786 -4.72858 -4.27569 -6.21317 -6.01105 -5.61936 -5.04664 -6.05452 -5.88116 -5.27615 -5.59845 -5.59104 -5.12008 -4.73079 2115.9
219.00 68.377 2.51678 -8.16905 -9.8653 -9.14713 -9.07479 -9.2362 -9.33832 -9.2976 -9.42334 -8.71287 -8.89605 -8.89098 -9.04651 -8.43017 2116.16
220.00 69.5021 -0.0814491 -9.25396 -8.91032 -9.11741 -9.93536 -10.245 -10.2953 -10.2399 -10.7733 -9.92894 -9.98073 -10.0282 -10.3331 -9.62099 2114.59
221.00 69.0227 -0.147106 -8.76617 -7.08998 -8.28465 -9.09606 -9.86427 -9.45766 -10.1419 -10.134 -9.55843 -9.98689 -10.1354 -9.87915 -9.16609 2112.62
222.00 69.6555 0.216884 -9.39123 -7.52345 -9.28363 -10.4591 -10.5783 -9.59116 -10.1637 -10.4096 -10.2757 -10.493 -10.8579 -10.6831 -9.87979 2112.43
223.00 69.6505 0.268523 -9.37389 -8.86744 -9.63808 -9.96366 -9.7997 -9.63039 -9.75866 -10.0014 -9.78435 -10.4503 -10.5271 -10.2601 -9.80446 2112.71
224.00 69.3927 -0.701769 -9.11735 -8.65004 -9.4387 -9.87309 -9.06827 -8.91495 -9.39446 -9.42913 -9.10474 -9.15874 -10.0948 -9.92446 -9.3671 2112.71
225.00 69.5262 1.2488 -9.26886 -8.2387 -9.68538 -10.1285 -9.476 -9.47787 -9.9335 -9.58235 -8.7887 -8.98307 -10.0325 -10.1117 -9.35655 2115.04
226.00 71.1109 1.18166 -10.8336 -9.77658 -11.1284 -11.8605 -11.24 -10.993 -11.6694 -11.0702 -10.1184 -10.8089 -11.286 -11.2713 -10.8373 2116.06
227.00 71.3569 0.124646 -11.0488 -11.8449 -13.0848 -12.4994 -11.8686 -11.4197 -12.3387 -11.2157 -10.5036 -11.06 -11.5911 -11.0225 -10.9455 2113.11
228.00 71.7415 0.0247548 -11.421 -13.9833 -12.4546 -12.1845 -12.967 -12.8541 -11.5272 -11.2628 -11.8976 -11.3222 -11.1657 -11.2813 -11.5876 2111.69
229.00 71.3744 -0.514412 -11.0141 -9.9483 -10.8798 -12.0364 -11.99 -10.6461 -10.5947 -11.7696 -11.8967 -9.8355 -9.74847 -11.1332 -11.7302 2111.5
