# i t cells coeurs_suggere(~100k/coeur)
21360 229.218 1195132 12
21380 229.431 1198751 12
21400 229.649 1202629 13
21420 229.859 1201103 13
21440 230.036 1196098 12
21460 230.242 1192234 12
21480 230.464 1193879 12
21500 230.687 1198191 12
21520 230.911 1194439 12
21540 231.135 1193256 12
21560 231.36 1188020 12
21580 231.584 1186018 12
21600 231.809 1184296 12
21620 232.034 1173978 12
21640 232.258 1168644 12
21660 232.48 1165410 12
21680 232.692 1165368 12
21700 232.912 1166922 12
21720 233.135 1172403 12
21740 233.36 1181503 12
21760 233.584 1187999 12
21780 233.809 1195839 12
21800 234.034 1204526 13
21820 234.258 1213556 13
21840 234.483 1221557 13
21860 234.704 1229271 13
21880 234.923 1229824 13
21900 235.146 1229950 13
21920 235.371 1235109 13
21940 235.596 1239008 13
21960 235.82 1243544 13
21980 236.045 1249319 13
22000 236.27 1245889 13
22020 236.494 1243019 13
22040 236.719 1238252 13
22060 236.944 1236411 13
22080 237.169 1234633 13
22100 237.393 1235550 13
22120 237.618 1239463 13
22140 237.843 1247982 13
22160 238.067 1260582 13
22180 238.292 1274379 13
22200 238.517 1282898 13
22220 238.739 1288652 13
22240 238.956 1287469 13
22260 239.18 1286153 13
22280 239.401 1279622 13
22300 239.623 1268604 13
22320 239.845 1258867 13
22340 240.067 1246043 13
22360 240.292 1236439 13
22380 240.517 1236278 13
22400 240.742 1239582 13
22420 240.966 1240926 13
22440 241.191 1245455 13
22460 241.411 1251020 13
22480 241.634 1258286 13
22500 241.856 1258090 13
22520 242.079 1260603 13
22540 242.303 1260561 13
22560 242.528 1263634 13
22580 242.753 1263578 13
22600 242.978 1260169 13
22620 243.202 1259399 13
22640 243.427 1258601 13
22660 243.652 1257866 13
22680 243.873 1258062 13
22700 244.061 1257075 13
22720 244.279 1256249 13
22740 244.501 1257999 13
22760 244.719 1262927 13
22780 244.935 1262500 13
22800 245.157 1261646 13
22820 245.382 1257061 13
22840 245.603 1248563 13
22860 245.824 1243866 13
22880 246.045 1235613 13
22900 246.27 1232701 13
22920 246.494 1230748 13
22940 246.719 1229971 13
22960 246.944 1227983 13
22980 247.169 1225750 13
23000 247.393 1224427 13
23020 247.614 1222222 13
23040 247.834 1218148 13
23060 248.056 1212310 13
23080 248.281 1205975 13
23100 248.506 1203217 13
23120 248.725 1197064 12
23140 248.945 1191597 12
23160 249.169 1188601 12
23180 249.393 1185822 12
23200 249.618 1184114 12
23220 249.843 1182245 12
23240 250.067 1184954 12
23260 250.292 1189161 12
23280 250.517 1189763 12
23300 250.742 1189182 12
23320 250.966 1194096 12
23340 251.191 1197750 12
23360 251.416 1199675 12
23380 251.64 1203336 13
23400 251.851 1207333 13
23420 252.029 1210371 13
23440 252.234 1216398 13
23460 252.455 1219128 13
23480 252.677 1223979 13
23500 252.9 1229761 13
23520 253.124 1236789 13
23540 253.348 1241269 13
23560 253.573 1248045 13
23580 253.798 1253344 13
23600 254.022 1252609 13
23620 254.247 1249809 13
23640 254.472 1246757 13
23660 254.697 1243481 13
23680 254.921 1241549 13
23700 255.135 1243544 13
23720 255.359 1249004 13
23740 255.584 1249494 13
23760 255.809 1252392 13
23780 256.034 1253505 13
23800 256.258 1251426 13
23820 256.483 1254604 13
23840 256.708 1257012 13
23860 256.933 1260974 13
23880 257.157 1264565 13
23900 257.382 1270053 13
23920 257.607 1271649 13
23940 257.831 1265580 13
23960 258.056 1261744 13
23980 258.281 1256991 13
24000 258.506 1250187 13
24020 258.73 1242452 13
24040 258.955 1238763 13
24060 259.18 1238063 13
24080 259.404 1245182 13
24100 259.627 1249214 13
24120 259.84 1254436 13
24140 260.056 1262283 13
24160 260.281 1262451 13
24180 260.506 1262115 13
24200 260.73 1262402 13
24220 260.931 1263858 13
24240 261.145 1263221 13
24260 261.37 1261786 13
24280 261.573 1260323 13
24300 261.764 1261226 13
24320 261.979 1261940 13
24340 262.202 1263333 13
24360 262.427 1257593 13
24380 262.636 1257005 13
24400 262.85 1256340 13
24420 263.067 1250124 13
24440 263.292 1243467 13
24460 263.517 1242921 13
24480 263.742 1240611 13
24500 263.966 1241283 13
24520 264.191 1244790 13
24540 264.416 1249200 13
24560 264.64 1255451 13
24580 264.865 1260043 13
24600 265.09 1260414 13
